id;Doc. Date;Order qty;PCS delivered;HL delivered;MACO/HL ;Postal Code;Sous groupement;Subrand;Unidade do container;Container Size;Latitude;Longitude;TTC;Litragem do container;Preco/L
0;11/01/2021;5;350;21;150.689825;59160;France BOISSONS;LEFFE BLONDE;1;6;50.6455;2.9619;18.137448;6;3.022908
3;11/01/2021;1;70;4.2;195.3340351;59160;France BOISSONS;TRIPLE KARMELIET;1;6;50.6455;2.9619;21.996;6;3.666
7;08/01/2021;70;70;4.2;195.3340351;62570;ALLAN;TRIPLE KARMELIET;1;6;50.6978;2.2423;21.996;6;3.666
8;08/01/2021;140;140;8.4;150.689825;62570;ALLAN;LEFFE BLONDE;1;6;50.6978;2.2423;18.6984;6;3.1164
13;11/01/2021;70;70;4.2;186.7078982;70110;DAMIDEAUX MICHEL BOISSONS;GOOSE;1;6;47.5382;6.4026;22.6512;6;3.7752
14;11/01/2021;210;210;12.6;140.097307;70110;DAMIDEAUX MICHEL BOISSONS;HOEGAARDEN WHITE;1;6;47.5382;6.4026;16.2896832;6;2.7149472
15;11/01/2021;70;70;4.2;167.1285306;70110;DAMIDEAUX MICHEL BOISSONS;HOEGAARDEN ROSEE;1;6;47.5382;6.4026;19.09908;6;3.18318
17;11/01/2021;700;700;42;150.689825;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE BLONDE;1;6;47.5382;6.4026;17.5390992;6;2.9231832
18;11/01/2021;140;140;8.4;195.5874479;70110;DAMIDEAUX MICHEL BOISSONS;LEFFE RUBY;1;6;47.5382;6.4026;22.774752;6;3.795792
22;11/01/2021;10;10;0.792;186.9042007;70110;DAMIDEAUX MICHEL BOISSONS;TRIPLE KARMELIET;24;0.33;47.5382;6.4026;28.4544;7.92;3.592727273
1036;22/02/2021;70;70;4.2;127.984305;83630;OLIVIER FRERES;BUD;1;6;43.733;6.1765;15.7747752;6;2.6291292
25;11/01/2021;140;140;8.4;186.7078982;83630;OLIVIER FRERES;GOOSE;1;6;43.733;6.1765;22.6512;6;3.7752
28;11/01/2021;210;210;12.6;195.3340351;83630;OLIVIER FRERES;TRIPLE KARMELIET;1;6;43.733;6.1765;21.996;6;3.666
29;11/01/2021;70;70;4.2;128.264406;83630;OLIVIER FRERES;KWAK;1;6;43.733;6.1765;18.0936;6;3.0156
30;11/01/2021;70;70;4.2;208.8988426;83630;OLIVIER FRERES;LEFFE AMBREE;1;6;43.733;6.1765;22.4016912;6;3.7336152
31;11/01/2021;70;70;4.2;217.4492633;83630;OLIVIER FRERES;LEFFE RITUEL 9;1;6;43.733;6.1765;22.774752;6;3.795792
979;18/02/2021;30;30;1.8;127.984305;56500;COZIGOU  ;BUD;1;6;47.8546;-2.8348;15.7747752;6;2.6291292
38;11/01/2021;70;70;4.2;195.3340351;85700;VINS REMY LIBOUREAU;TRIPLE KARMELIET;1;6;46.8354;-0.7778;21.996;6;3.666
39;11/01/2021;10;10;0.6;211.631664;59270;ENTREPOTS DES FLANDRES;LEFFE ROYALE;1;6;50.7263;2.6309;22.774752;6;3.795792
41;11/01/2021;140;140;8.4;150.689825;59270;ENTREPOTS DES FLANDRES;LEFFE BLONDE;1;6;50.7263;2.6309;17.5390992;6;2.9231832
42;11/01/2021;70;70;4.2;195.3340351;59270;ENTREPOTS DES FLANDRES;TRIPLE KARMELIET;1;6;50.7263;2.6309;21.996;6;3.666
43;11/01/2021;20;20;1.2;195.5874479;59270;ENTREPOTS DES FLANDRES;LEFFE RUBY;1;6;50.7263;2.6309;22.774752;6;3.795792
44;11/01/2021;50;50;3;128.264406;59270;ENTREPOTS DES FLANDRES;KWAK;1;6;50.7263;2.6309;18.0936;6;3.0156
47;11/01/2021;20;20;1.2;217.4492633;59270;ENTREPOTS DES FLANDRES;LEFFE RITUEL 9;1;6;50.7263;2.6309;22.774752;6;3.795792
48;11/01/2021;20;20;1.2;224.5997572;59270;ENTREPOTS DES FLANDRES;LEFFE ROYALE;1;6;50.7263;2.6309;22.774752;6;3.795792
49;11/01/2021;20;20;1.2;186.7078982;59270;ENTREPOTS DES FLANDRES;GOOSE;1;6;50.7263;2.6309;22.6512;6;3.7752
52;11/01/2021;70;70;4.2;140.097307;70300;BURGEY ROBERT ET FILS;HOEGAARDEN WHITE;1;6;47.7954;6.4907;16.2896832;6;2.7149472
53;11/01/2021;210;210;12.6;150.689825;70300;BURGEY ROBERT ET FILS;LEFFE BLONDE;1;6;47.7954;6.4907;17.5390992;6;2.9231832
55;11/01/2021;70;70;4.2;195.3340351;70300;BURGEY ROBERT ET FILS;TRIPLE KARMELIET;1;6;47.7954;6.4907;21.996;6;3.666
59;12/01/2021;910;910;54.6;128.264406;62120;BEDAGUE;KWAK;1;6;50.6177;2.3964;18.0936;6;3.0156
60;12/01/2021;350;350;21;140.097307;62120;BEDAGUE;HOEGAARDEN WHITE;1;6;50.6177;2.3964;16.2896832;6;2.7149472
62;12/01/2021;140;140;8.4;195.5874479;62120;BEDAGUE;LEFFE RUBY;1;6;50.6177;2.3964;22.774752;6;3.795792
63;12/01/2021;280;280;16.8;150.689825;62120;BEDAGUE;LEFFE BLONDE;1;6;50.6177;2.3964;17.5390992;6;2.9231832
64;12/01/2021;1820;1820;109.2;150.689825;62120;BEDAGUE;LEFFE BLONDE;1;6;50.6177;2.3964;17.5390992;6;2.9231832
71;12/01/2021;280;280;16.8;195.3340351;2500;B.B.C.D. (Hirson);TRIPLE KARMELIET;1;6;49.827;4.2107;21.952008;6;3.658668
72;12/01/2021;70;70;4.2;128.264406;2500;B.B.C.D. (Hirson);KWAK;1;6;49.827;4.2107;18.0574128;6;3.0095688
73;12/01/2021;490;490;29.4;150.689825;2500;B.B.C.D. (Hirson);LEFFE BLONDE;1;6;49.827;4.2107;17.8943688;6;2.9823948
75;12/01/2021;70;70;4.2;217.4492633;2500;B.B.C.D. (Hirson);LEFFE RITUEL 9;1;6;49.827;4.2107;22.9749696;6;3.8291616
82;12/01/2021;350;350;21;167.1285306;62120;BEDAGUE;HOEGAARDEN ROSEE;1;6;50.6177;2.3964;19.09908;6;3.18318
83;12/01/2021;1400;1400;84;195.3340351;62120;BEDAGUE;TRIPLE KARMELIET;1;6;50.6177;2.3964;21.996;6;3.666
84;12/01/2021;20;20;1.584;170.7547101;62120;BEDAGUE;LEFFE RUBY;24;0.33;50.6177;2.3964;24.7854096;7.92;3.129470909
86;12/01/2021;20;20;1.584;171.6145753;62120;BEDAGUE;LEFFE BLONDE;24;0.33;50.6177;2.3964;23.319072;7.92;2.944327273
87;12/01/2021;1820;1820;109.2;150.689825;62120;BEDAGUE;LEFFE BLONDE;1;6;50.6177;2.3964;17.5390992;6;2.9231832
89;12/01/2021;350;350;21;195.5874479;62120;BEDAGUE;LEFFE RUBY;1;6;50.6177;2.3964;22.774752;6;3.795792
91;12/01/2021;70;70;4.2;150.689825;83130;DISTRIBUTION vins boissons (La Garde);LEFFE BLONDE;1;6;43.1228;6.0075;17.5390992;6;2.9231832
92;12/01/2021;20;20;1.2;211.631664;83130;DISTRIBUTION vins boissons (La Garde);LEFFE ROYALE;1;6;43.1228;6.0075;22.774752;6;3.795792
93;12/01/2021;10;10;0.6;195.5874479;83130;DISTRIBUTION vins boissons (La Garde);LEFFE RUBY;1;6;43.1228;6.0075;22.774752;6;3.795792
94;12/01/2021;10;10;0.6;224.5997572;83130;DISTRIBUTION vins boissons (La Garde);LEFFE ROYALE;1;6;43.1228;6.0075;22.774752;6;3.795792
96;12/01/2021;10;10;0.6;186.7078982;83130;DISTRIBUTION vins boissons (La Garde);GOOSE;1;6;43.1228;6.0075;22.6512;6;3.7752
97;12/01/2021;30;30;1.8;195.3340351;83130;DISTRIBUTION vins boissons (La Garde);TRIPLE KARMELIET;1;6;43.1228;6.0075;21.996;6;3.666
98;12/01/2021;30;30;1.8;128.264406;83130;DISTRIBUTION vins boissons (La Garde);KWAK;1;6;43.1228;6.0075;18.0936;6;3.0156
995;18/02/2021;10;10;0.6;127.984305;59193;VANDENDRIESSCHE;BUD;1;6;50.676;2.8451;15.7747752;6;2.6291292
104;12/01/2021;20;20;1.2;140.097307;83130;DISTRIBUTION vins boissons (La Garde);HOEGAARDEN WHITE;1;6;43.1228;6.0075;16.2896832;6;2.7149472
105;12/01/2021;10;10;0.6;167.1285306;83130;DISTRIBUTION vins boissons (La Garde);HOEGAARDEN ROSEE;1;6;43.1228;6.0075;19.09908;6;3.18318
107;12/01/2021;1;70;4.2;150.689825;35530;France BOISSONS;LEFFE BLONDE;1;6;48.1211;-1.4597;18.137448;6;3.022908
939;17/02/2021;140;140;8.4;127.984305;37400;FAYETTE;BUD;1;6;47.3947;0.9161;16.272216;6;2.712036
109;12/01/2021;1820;1820;109.2;150.689825;62120;BEDAGUE;LEFFE BLONDE;1;6;50.6177;2.3964;17.5390992;6;2.9231832
110;12/01/2021;420;420;33.264;186.9042007;59181;ETS PLOUVIER;TRIPLE KARMELIET;24;0.33;50.702;2.7783;28.4544;7.92;3.592727273
111;12/01/2021;60;60;4.752;118.1400003;59181;ETS PLOUVIER;KWAK;24;0.33;50.702;2.7783;24.7392;7.92;3.123636364
113;12/01/2021;770;770;46.2;150.689825;62500;SODIBOISSONS;LEFFE BLONDE;1;6;50.7518;2.2405;17.5390992;6;2.9231832
114;12/01/2021;70;70;4.2;140.097307;62500;SODIBOISSONS;HOEGAARDEN WHITE;1;6;50.7518;2.2405;16.2896832;6;2.7149472
117;12/01/2021;70;70;4.2;211.631664;62500;SODIBOISSONS;LEFFE ROYALE;1;6;50.7518;2.2405;22.774752;6;3.795792
